"QuartierNr";"QuartierCode";"QuartierName";2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
11;"011";"Rathaus";0;0;0;0;0;0;0;0;0;0;0;0
12;"012";"Hochschulen";0;0;0;0;0;0;0;0;0;0;0;0
13;"013";"Lindenhof";0;0;0;0;0;0;0;0;0;0;0;0
14;"014";"City";0;0;0;0;0;0;0;0;0;0;0;0
21;"021";"Wollishofen";0;0;5;7;4;8;0;20;38;9;10;20
23;"023";"Leimbach";0;41;0;0;0;0;0;0;0;0;0;0
24;"024";"Enge";5;8;58;0;0;0;0;20;0;0;0;0
31;"031";"Alt-Wiedikon";0;0;0;0;36;0;0;65;0;79;17;29
33;"033";"Friesenberg";0;0;0;0;0;19;0;0;0;0;0;0
34;"034";"Sihlfeld";0;0;0;0;0;25;0;0;0;0;0;0
41;"041";"Werd";0;0;0;0;0;0;0;0;0;0;0;0
42;"042";"Langstrasse";0;0;0;0;0;0;0;15;0;0;8;0
44;"044";"Hard";0;0;0;0;0;0;0;0;0;0;0;0
51;"051";"Gewerbeschule";0;0;0;0;5;0;3;0;0;0;27;0
52;"052";"Escher Wyss";0;69;0;102;0;0;0;0;0;0;0;0
61;"061";"Unterstrass";17;5;0;0;0;0;5;37;0;51;5;0
63;"063";"Oberstrass";0;0;0;10;0;0;2;0;3;0;13;9
71;"071";"Fluntern";0;24;12;19;0;4;5;0;7;0;13;6
72;"072";"Hottingen";0;0;0;10;0;12;0;17;4;0;0;0
73;"073";"Hirslanden";21;8;14;0;0;0;0;0;0;8;14;0
74;"074";"Witikon";21;7;54;6;50;0;26;0;3;0;20;7
81;"081";"Seefeld";0;0;0;0;0;0;0;0;0;11;0;0
82;"082";"Mühlebach";9;0;0;0;0;0;0;0;0;0;0;40
83;"083";"Weinegg";0;0;0;0;0;0;12;8;0;0;0;0
91;"091";"Albisrieden";5;0;21;0;15;0;48;27;17;26;4;10
92;"092";"Altstetten";0;0;16;5;0;4;14;0;0;8;52;3
101;"101";"Höngg";18;20;49;18;28;62;0;6;49;10;31;0
102;"102";"Wipkingen";0;0;0;0;8;0;2;4;4;21;0;19
111;"111";"Affoltern";0;0;13;0;2;13;0;170;110;197;45;0
115;"115";"Oerlikon";0;4;3;20;7;0;32;9;0;30;21;17
119;"119";"Seebach";0;0;124;11;17;35;21;4;29;0;27;17
121;"121";"Saatlen";0;0;0;0;0;0;0;0;0;0;0;0
122;"122";"Schwamendingen-Mitte";0;0;0;6;3;14;0;0;51;0;0;20
123;"123";"Hirzenbach";0;42;0;11;6;38;0;0;7;0;0;0
