"Stadt-Kreis-Quartier","Jahr","Total","total, in Wohngebäuden","total, Einfamilienhäuser, in Wohngebäuden","Einfamilienhaus freistehend, in Wohngebäuden","Einfamilienhaus angebaut, in Wohngebäuden","total, Mehrfamilienhäuser, in Wohngebäuden","Mehrfamilienhaus mit 2 Wohnungen, in Wohngebäuden","Mehrfamilienhaus, in Wohngebäuden","Wohnhäuser mit Geschäftsräumen, in Wohngebäuden","total, übrige Wohnhäuser #1, in Wohngebäuden","Wohngebäude für Gemeinschaften","Alterswohnhaus / -heim","total, in Nutzbauten","Hotel, in Nutzbauten","Restaurant, in Nutzbauten","Übriges Gebäude für Gastgewerbe, in Nutzbauten","Andere Gebäude für kurzfristige Beherbergungen, in Nutzbauten","Geschäftshaus, in Nutzbauten","Bürogebäude, in Nutzbauten","Gross- und Einzelhandelsgebäude, in Nutzbauten","Bahngebäude, in Nutzbauten","Radio und Fernsehen, in Nutzbauten","Tram und Bus Wartehalle, in Nutzbauten","Garagen (1-9 Parkplätze), in Nutzbauten","Garagen (mehr als 9 Parkplätze, in Nutzbauten","Industriegebäude, in Nutzbauten","Werkstattgebäude, in Nutzbauten","Übriges Gebäude für Industrie, in Nutzbauten","Lager, Silo, in Nutzbauten","Theater-, Konzert- und Kinogebäude, in Nutzbauten","Versammlungsgebäude, Mehrzweckhalle, in Nutzbauten","Zoologischer Garten, in Nutzbauten","Museen und Bibliotheken, in Nutzbauten","Schulhaus, in Nutzbauten","Hort, Kindergarten, in Nutzbauten","Hochschulgebäude, in Nutzbauten","Übriges Gebäude für Schulzwecke, in Nutzbauten","Spital- und Klinikgebäude, in Nutzbauten","Kranken- und Pflegeheime, in Nutzbauten","Übriges Gebäude des Gesundheitswesens, in Nutzbauten","Sporthalle, Hallenbad, Turnhalle, in Nutzbauten","Übriges Gebäude für Sport, in Nutzbauten","Landwirtschafts- Gärtnerei- und Oekonomiegebäude, in Nutzbauten","Kirche, Moschee, Synagoge, in Nutzbauten","Kirchgemeindehaus, in Nutzbauten","Übriges Kultusgebäude, in Nutzbauten","Militär- Luftschutz-, Polizei- und Feuerwehrgebäude, in Nutzbauten","Strafvollzugs- und Untersuchungshaftanstalt, in Nutzbauten","Übriges Kleingebäude, in Nutzbauten","weniger als 2, Nach Stockwerk","2–3, Nach Stockwerk","4–7, Nach Stockwerk","8 und mehr, Nach Stockwerk"
"Ganze Stadt","2010","208089","205044","9711","2347","7364","136406","2536","133870","55089","3838","509","3329","3045","113","46","2","118","1122","623","52","12","0","1","0","0","74","94","7","0","34","64","6","17","124","71","24","82","14","83","33","21","15","62","35","47","42","2","1","4","102705","76471","26619","2294"
"Kreis 1","2010","3870","3473","30","5","25","406","28","378","3023","14","2","12","397","8","12","0","3","275","51","6","0","0","0","0","0","6","3","0","0","2","4","0","7","8","1","2","0","0","4","0","1","0","0","1","2","1","0","0","0","929","1852","1089","0"
"Rathaus","2010","2296","2160","21","1","20","205","22","183","1923","11","0","11","136","7","7","0","1","90","12","3","0","0","0","0","0","4","2","0","0","2","1","0","3","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","536","1128","632","0"
"Hochschulen","2010","333","277","4","2","2","61","2","59","210","2","2","0","56","0","0","0","1","32","12","0","0","0","0","0","0","1","0","0","0","0","1","0","3","3","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","115","165","53","0"
"Lindenhof","2010","810","702","4","2","2","54","4","50","644","0","0","0","108","0","5","0","1","87","7","3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","166","374","270","0"
"City","2010","431","334","1","0","1","86","0","86","246","1","0","1","97","1","0","0","0","66","20","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","112","185","134","0"
"Kreis 2","2010","16307","16047","1074","219","855","10489","292","10197","4156","328","1","327","260","3","4","0","3","99","81","2","1","0","0","0","0","6","9","2","0","0","1","0","1","13","9","0","1","0","1","9","1","5","2","1","3","2","1","0","0","9056","5687","1432","132"
"Wollishofen","2010","8807","8729","581","118","463","6273","112","6161","1693","182","1","181","78","1","2","0","1","30","8","2","0","0","0","0","0","6","1","2","0","0","1","0","0","5","8","0","1","0","0","4","1","0","1","0","3","0","1","0","0","5345","3014","429","19"
"Leimbach","2010","2443","2433","407","59","348","1557","90","1467","402","67","0","67","10","0","0","0","0","2","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","1470","665","203","105"
"Enge","2010","5057","4885","86","42","44","2659","90","2569","2061","79","0","79","172","2","2","0","2","67","70","0","1","0","0","0","0","0","7","0","0","0","0","0","1","7","1","0","0","0","1","3","0","5","1","0","0","2","0","0","0","2241","2008","800","8"
