"Jahr","QuartierNr","QuartierName","Stadtkreis","DetailnutzungCode","DetailnutzungName","Nutzungsgruppe","NutzungsgruppeName","Nutzflaeche"
2008,11,"Rathaus",1,11,"Einfamilienhaus",10,"Wohnen",3540
2008,11,"Rathaus",1,12,"Mehrfamilienhäuser",10,"Wohnen",13840
2008,11,"Rathaus",1,13,"Wohnen in Mischgeb.",10,"Wohnen",144720
2008,11,"Rathaus",1,14,"Alterswhg, Gemeinsch.",10,"Wohnen",3420
2008,11,"Rathaus",1,21,"Büro, Geschäft",20,"Kommerziell",99840
2008,11,"Rathaus",1,22,"Gastgewerbe",20,"Kommerziell",37860
2008,11,"Rathaus",1,23,"Geschäft in Mischgeb.",20,"Kommerziell",80140
2008,11,"Rathaus",1,31,"Verwaltung",30,"Andere Nutzungen",38200
2008,11,"Rathaus",1,32,"Industrie, Lager",30,"Andere Nutzungen",3330
2008,11,"Rathaus",1,33,"Landw., Gartenbau",30,"Andere Nutzungen",80
2008,11,"Rathaus",1,34,"Ausbildung",30,"Andere Nutzungen",7090
2008,11,"Rathaus",1,35,"Gesundheit",30,"Andere Nutzungen",1050
2008,11,"Rathaus",1,36,"Kultur, Sport",30,"Andere Nutzungen",22980
2008,11,"Rathaus",1,38,"Kleingebäude",30,"Andere Nutzungen",750
2008,12,"Hochschulen",1,11,"Einfamilienhaus",10,"Wohnen",880
2008,12,"Hochschulen",1,12,"Mehrfamilienhäuser",10,"Wohnen",5900
2008,12,"Hochschulen",1,13,"Wohnen in Mischgeb.",10,"Wohnen",24180
2008,12,"Hochschulen",1,14,"Alterswhg, Gemeinsch.",10,"Wohnen",7520
2008,12,"Hochschulen",1,21,"Büro, Geschäft",20,"Kommerziell",85200
2008,12,"Hochschulen",1,22,"Gastgewerbe",20,"Kommerziell",10020
2008,12,"Hochschulen",1,23,"Geschäft in Mischgeb.",20,"Kommerziell",12550
2008,12,"Hochschulen",1,31,"Verwaltung",30,"Andere Nutzungen",54140
2008,12,"Hochschulen",1,32,"Industrie, Lager",30,"Andere Nutzungen",710
2008,12,"Hochschulen",1,33,"Landw., Gartenbau",30,"Andere Nutzungen",80
2008,12,"Hochschulen",1,34,"Ausbildung",30,"Andere Nutzungen",191450
2008,12,"Hochschulen",1,35,"Gesundheit",30,"Andere Nutzungen",2250
2008,12,"Hochschulen",1,36,"Kultur, Sport",30,"Andere Nutzungen",32740
2008,12,"Hochschulen",1,37,"Infrastruktur",30,"Andere Nutzungen",1580
2008,12,"Hochschulen",1,38,"Kleingebäude",30,"Andere Nutzungen",710
2008,13,"Lindenhof",1,11,"Einfamilienhaus",10,"Wohnen",700
2008,13,"Lindenhof",1,12,"Mehrfamilienhäuser",10,"Wohnen",3970
2008,13,"Lindenhof",1,13,"Wohnen in Mischgeb.",10,"Wohnen",60780
2008,13,"Lindenhof",1,21,"Büro, Geschäft",20,"Kommerziell",215030
2008,13,"Lindenhof",1,22,"Gastgewerbe",20,"Kommerziell",21700
2008,13,"Lindenhof",1,23,"Geschäft in Mischgeb.",20,"Kommerziell",30680
2008,13,"Lindenhof",1,31,"Verwaltung",30,"Andere Nutzungen",67190
2008,13,"Lindenhof",1,32,"Industrie, Lager",30,"Andere Nutzungen",1360
2008,13,"Lindenhof",1,36,"Kultur, Sport",30,"Andere Nutzungen",11930
2008,13,"Lindenhof",1,38,"Kleingebäude",30,"Andere Nutzungen",530
2008,14,"City",1,11,"Einfamilienhaus",10,"Wohnen",110
2008,14,"City",1,12,"Mehrfamilienhäuser",10,"Wohnen",5620
2008,14,"City",1,13,"Wohnen in Mischgeb.",10,"Wohnen",37850
2008,14,"City",1,14,"Alterswhg, Gemeinsch.",10,"Wohnen",1740
2008,14,"City",1,21,"Büro, Geschäft",20,"Kommerziell",546870
2008,14,"City",1,22,"Gastgewerbe",20,"Kommerziell",38770
2008,14,"City",1,23,"Geschäft in Mischgeb.",20,"Kommerziell",13830
2008,14,"City",1,31,"Verwaltung",30,"Andere Nutzungen",79290
2008,14,"City",1,32,"Industrie, Lager",30,"Andere Nutzungen",1560
2008,14,"City",1,33,"Landw., Gartenbau",30,"Andere Nutzungen",70
2008,14,"City",1,34,"Ausbildung",30,"Andere Nutzungen",5260
2008,14,"City",1,35,"Gesundheit",30,"Andere Nutzungen",720
2008,14,"City",1,36,"Kultur, Sport",30,"Andere Nutzungen",34730
2008,14,"City",1,37,"Infrastruktur",30,"Andere Nutzungen",26060
2008,14,"City",1,38,"Kleingebäude",30,"Andere Nutzungen",910
2008,21,"Wollishofen",2,11,"Einfamilienhaus",10,"Wohnen",83400
2008,21,"Wollishofen",2,12,"Mehrfamilienhäuser",10,"Wohnen",501490
2008,21,"Wollishofen",2,13,"Wohnen in Mischgeb.",10,"Wohnen",150730
2008,21,"Wollishofen",2,14,"Alterswhg, Gemeinsch.",10,"Wohnen",29160
2008,21,"Wollishofen",2,21,"Büro, Geschäft",20,"Kommerziell",75370
2008,21,"Wollishofen",2,22,"Gastgewerbe",20,"Kommerziell",320
2008,21,"Wollishofen",2,23,"Geschäft in Mischgeb.",20,"Kommerziell",104580
2008,21,"Wollishofen",2,31,"Verwaltung",30,"Andere Nutzungen",15300
2008,21,"Wollishofen",2,32,"Industrie, Lager",30,"Andere Nutzungen",79110
2008,21,"Wollishofen",2,33,"Landw., Gartenbau",30,"Andere Nutzungen",1330
2008,21,"Wollishofen",2,34,"Ausbildung",30,"Andere Nutzungen",24600
2008,21,"Wollishofen",2,35,"Gesundheit",30,"Andere Nutzungen",30880
2008,21,"Wollishofen",2,36,"Kultur, Sport",30,"Andere Nutzungen",12690
2008,21,"Wollishofen",2,37,"Infrastruktur",30,"Andere Nutzungen",8620
2008,21,"Wollishofen",2,38,"Kleingebäude",30,"Andere Nutzungen",7260
2008,23,"Leimbach",2,11,"Einfamilienhaus",10,"Wohnen",45890
2008,23,"Leimbach",2,12,"Mehrfamilienhäuser",10,"Wohnen",140390
2008,23,"Leimbach",2,13,"Wohnen in Mischgeb.",10,"Wohnen",30540
2008,23,"Leimbach",2,14,"Alterswhg, Gemeinsch.",10,"Wohnen",13130
2008,23,"Leimbach",2,21,"Büro, Geschäft",20,"Kommerziell",8570
2008,23,"Leimbach",2,23,"Geschäft in Mischgeb.",20,"Kommerziell",13870
2008,23,"Leimbach",2,31,"Verwaltung",30,"Andere Nutzungen",1480
2008,23,"Leimbach",2,32,"Industrie, Lager",30,"Andere Nutzungen",2140
2008,23,"Leimbach",2,33,"Landw., Gartenbau",30,"Andere Nutzungen",1890
