"StichtagDatJahr","QuarSort","QuarLang","KreisSort","KreisLang","HHtypSort","HHtypLang","AnzHH","AnzBestWir"
2013,11,"Rathaus",1,"Kreis 1",1,"Einpersonenhaushalt",1146,1146
2013,11,"Rathaus",1,"Kreis 1",4,"Zweipersonenhaushalt",254,508
2013,11,"Rathaus",1,"Kreis 1",5,"Ehepaar ohne Kinder",173,346
2013,11,"Rathaus",1,"Kreis 1",6,"Eingetragenes Paar ohne Kinder",10,20
2013,11,"Rathaus",1,"Kreis 1",7,"Ein-Elternhaushalt",47,107
2013,11,"Rathaus",1,"Kreis 1",8,"Ehepaar mit Kinder",110,394
2013,11,"Rathaus",1,"Kreis 1",10,"Paar mit Kindern",16,57
2013,11,"Rathaus",1,"Kreis 1",11,"Patchwork-Haushalt",10,30
2013,11,"Rathaus",1,"Kreis 1",12,"Wohngemeinschaft ohne Kinder",79,290
2013,11,"Rathaus",1,"Kreis 1",13,"Wohngemeinschaft mit Kindern",14,75
2013,11,"Rathaus",1,"Kreis 1",14,"Generationenhaushalt",2,8
2013,12,"Hochschulen",1,"Kreis 1",1,"Einpersonenhaushalt",129,129
2013,12,"Hochschulen",1,"Kreis 1",4,"Zweipersonenhaushalt",35,70
2013,12,"Hochschulen",1,"Kreis 1",5,"Ehepaar ohne Kinder",24,48
2013,12,"Hochschulen",1,"Kreis 1",6,"Eingetragenes Paar ohne Kinder",2,4
2013,12,"Hochschulen",1,"Kreis 1",7,"Ein-Elternhaushalt",5,11
2013,12,"Hochschulen",1,"Kreis 1",8,"Ehepaar mit Kinder",24,84
2013,12,"Hochschulen",1,"Kreis 1",10,"Paar mit Kindern",1,3
2013,12,"Hochschulen",1,"Kreis 1",11,"Patchwork-Haushalt",3,11
2013,12,"Hochschulen",1,"Kreis 1",12,"Wohngemeinschaft ohne Kinder",15,56
2013,12,"Hochschulen",1,"Kreis 1",13,"Wohngemeinschaft mit Kindern",2,10
2013,13,"Lindenhof",1,"Kreis 1",1,"Einpersonenhaushalt",349,349
2013,13,"Lindenhof",1,"Kreis 1",4,"Zweipersonenhaushalt",69,138
2013,13,"Lindenhof",1,"Kreis 1",5,"Ehepaar ohne Kinder",56,112
2013,13,"Lindenhof",1,"Kreis 1",6,"Eingetragenes Paar ohne Kinder",1,2
2013,13,"Lindenhof",1,"Kreis 1",7,"Ein-Elternhaushalt",21,48
2013,13,"Lindenhof",1,"Kreis 1",8,"Ehepaar mit Kinder",32,117
2013,13,"Lindenhof",1,"Kreis 1",10,"Paar mit Kindern",5,15
2013,13,"Lindenhof",1,"Kreis 1",11,"Patchwork-Haushalt",1,4
2013,13,"Lindenhof",1,"Kreis 1",12,"Wohngemeinschaft ohne Kinder",24,82
2013,13,"Lindenhof",1,"Kreis 1",13,"Wohngemeinschaft mit Kindern",4,22
2013,13,"Lindenhof",1,"Kreis 1",14,"Generationenhaushalt",1,3
2013,14,"City",1,"Kreis 1",1,"Einpersonenhaushalt",126,126
2013,14,"City",1,"Kreis 1",4,"Zweipersonenhaushalt",55,110
2013,14,"City",1,"Kreis 1",5,"Ehepaar ohne Kinder",37,74
2013,14,"City",1,"Kreis 1",6,"Eingetragenes Paar ohne Kinder",3,6
2013,14,"City",1,"Kreis 1",7,"Ein-Elternhaushalt",14,36
2013,14,"City",1,"Kreis 1",8,"Ehepaar mit Kinder",32,123
2013,14,"City",1,"Kreis 1",10,"Paar mit Kindern",8,25
2013,14,"City",1,"Kreis 1",12,"Wohngemeinschaft ohne Kinder",23,77
2013,14,"City",1,"Kreis 1",13,"Wohngemeinschaft mit Kindern",9,88
2013,21,"Wollishofen",2,"Kreis 2",1,"Einpersonenhaushalt",3828,3828
2013,21,"Wollishofen",2,"Kreis 2",4,"Zweipersonenhaushalt",948,1896
2013,21,"Wollishofen",2,"Kreis 2",5,"Ehepaar ohne Kinder",1100,2200
2013,21,"Wollishofen",2,"Kreis 2",6,"Eingetragenes Paar ohne Kinder",15,30
2013,21,"Wollishofen",2,"Kreis 2",7,"Ein-Elternhaushalt",430,1025
2013,21,"Wollishofen",2,"Kreis 2",8,"Ehepaar mit Kinder",1050,3970
2013,21,"Wollishofen",2,"Kreis 2",10,"Paar mit Kindern",118,417
2013,21,"Wollishofen",2,"Kreis 2",11,"Patchwork-Haushalt",36,128
2013,21,"Wollishofen",2,"Kreis 2",12,"Wohngemeinschaft ohne Kinder",260,893
2013,21,"Wollishofen",2,"Kreis 2",13,"Wohngemeinschaft mit Kindern",95,499
2013,21,"Wollishofen",2,"Kreis 2",14,"Generationenhaushalt",26,132
2013,23,"Leimbach",2,"Kreis 2",1,"Einpersonenhaushalt",843,843
2013,23,"Leimbach",2,"Kreis 2",4,"Zweipersonenhaushalt",214,428
2013,23,"Leimbach",2,"Kreis 2",5,"Ehepaar ohne Kinder",415,830
2013,23,"Leimbach",2,"Kreis 2",6,"Eingetragenes Paar ohne Kinder",2,4
2013,23,"Leimbach",2,"Kreis 2",7,"Ein-Elternhaushalt",123,324
2013,23,"Leimbach",2,"Kreis 2",8,"Ehepaar mit Kinder",545,2154
2013,23,"Leimbach",2,"Kreis 2",10,"Paar mit Kindern",45,161
2013,23,"Leimbach",2,"Kreis 2",11,"Patchwork-Haushalt",15,52
2013,23,"Leimbach",2,"Kreis 2",12,"Wohngemeinschaft ohne Kinder",91,325
2013,23,"Leimbach",2,"Kreis 2",13,"Wohngemeinschaft mit Kindern",62,359
2013,23,"Leimbach",2,"Kreis 2",14,"Generationenhaushalt",9,45
2013,24,"Enge",2,"Kreis 2",1,"Einpersonenhaushalt",1925,1925
2013,24,"Enge",2,"Kreis 2",4,"Zweipersonenhaushalt",665,1330
2013,24,"Enge",2,"Kreis 2",5,"Ehepaar ohne Kinder",516,1032
2013,24,"Enge",2,"Kreis 2",6,"Eingetragenes Paar ohne Kinder",23,46
2013,24,"Enge",2,"Kreis 2",7,"Ein-Elternhaushalt",130,315
2013,24,"Enge",2,"Kreis 2",8,"Ehepaar mit Kinder",559,2140
2013,24,"Enge",2,"Kreis 2",9,"Eingetragenes Paar mit Kinder",1,3
2013,24,"Enge",2,"Kreis 2",10,"Paar mit Kindern",57,194
2013,24,"Enge",2,"Kreis 2",11,"Patchwork-Haushalt",13,45
2013,24,"Enge",2,"Kreis 2",12,"Wohngemeinschaft ohne Kinder",215,752
2013,24,"Enge",2,"Kreis 2",13,"Wohngemeinschaft mit Kindern",78,448
2013,24,"Enge",2,"Kreis 2",14,"Generationenhaushalt",15,76
2013,31,"Alt-Wiedikon",3,"Kreis 3",1,"Einpersonenhaushalt",4314,4314
2013,31,"Alt-Wiedikon",3,"Kreis 3",4,"Zweipersonenhaushalt",1460,2920
2013,31,"Alt-Wiedikon",3,"Kreis 3",5,"Ehepaar ohne Kinder",860,1720
2013,31,"Alt-Wiedikon",3,"Kreis 3",6,"Eingetragenes Paar ohne Kinder",31,62
2013,31,"Alt-Wiedikon",3,"Kreis 3",7,"Ein-Elternhaushalt",227,529
2013,31,"Alt-Wiedikon",3,"Kreis 3",8,"Ehepaar mit Kinder",903,3522
2013,31,"Alt-Wiedikon",3,"Kreis 3",10,"Paar mit Kindern",142,477
2013,31,"Alt-Wiedikon",3,"Kreis 3",11,"Patchwork-Haushalt",32,107
2013,31,"Alt-Wiedikon",3,"Kreis 3",12,"Wohngemeinschaft ohne Kinder",436,1488
2013,31,"Alt-Wiedikon",3,"Kreis 3",13,"Wohngemeinschaft mit Kindern",166,930
2013,31,"Alt-Wiedikon",3,"Kreis 3",14,"Generationenhaushalt",26,139
2013,33,"Friesenberg",3,"Kreis 3",1,"Einpersonenhaushalt",1227,1227
2013,33,"Friesenberg",3,"Kreis 3",4,"Zweipersonenhaushalt",339,678
2013,33,"Friesenberg",3,"Kreis 3",5,"Ehepaar ohne Kinder",624,1248
2013,33,"Friesenberg",3,"Kreis 3",6,"Eingetragenes Paar ohne Kinder",6,12
2013,33,"Friesenberg",3,"Kreis 3",7,"Ein-Elternhaushalt",311,832
2013,33,"Friesenberg",3,"Kreis 3",8,"Ehepaar mit Kinder",1121,4567
2013,33,"Friesenberg",3,"Kreis 3",9,"Eingetragenes Paar mit Kinder",2,8
2013,33,"Friesenberg",3,"Kreis 3",10,"Paar mit Kindern",111,431
2013,33,"Friesenberg",3,"Kreis 3",11,"Patchwork-Haushalt",30,105
2013,33,"Friesenberg",3,"Kreis 3",12,"Wohngemeinschaft ohne Kinder",138,484
2013,33,"Friesenberg",3,"Kreis 3",13,"Wohngemeinschaft mit Kindern",77,437
2013,33,"Friesenberg",3,"Kreis 3",14,"Generationenhaushalt",17,87
2013,34,"Sihlfeld",3,"Kreis 3",1,"Einpersonenhaushalt",5326,5326
2013,34,"Sihlfeld",3,"Kreis 3",4,"Zweipersonenhaushalt",1949,3898
2013,34,"Sihlfeld",3,"Kreis 3",5,"Ehepaar ohne Kinder",926,1852
2013,34,"Sihlfeld",3,"Kreis 3",6,"Eingetragenes Paar ohne Kinder",30,60
2013,34,"Sihlfeld",3,"Kreis 3",7,"Ein-Elternhaushalt",454,1064
2013,34,"Sihlfeld",3,"Kreis 3",8,"Ehepaar mit Kinder",1062,4075
2013,34,"Sihlfeld",3,"Kreis 3",9,"Eingetragenes Paar mit Kinder",1,3
2013,34,"Sihlfeld",3,"Kreis 3",10,"Paar mit Kindern",183,618
2013,34,"Sihlfeld",3,"Kreis 3",11,"Patchwork-Haushalt",46,146
2013,34,"Sihlfeld",3,"Kreis 3",12,"Wohngemeinschaft ohne Kinder",602,2015
2013,34,"Sihlfeld",3,"Kreis 3",13,"Wohngemeinschaft mit Kindern",161,895
2013,34,"Sihlfeld",3,"Kreis 3",14,"Generationenhaushalt",47,271
2013,41,"Werd",4,"Kreis 4",1,"Einpersonenhaushalt",996,996
2013,41,"Werd",4,"Kreis 4",4,"Zweipersonenhaushalt",425,850
2013,41,"Werd",4,"Kreis 4",5,"Ehepaar ohne Kinder",129,258
2013,41,"Werd",4,"Kreis 4",6,"Eingetragenes Paar ohne Kinder",12,24
2013,41,"Werd",4,"Kreis 4",7,"Ein-Elternhaushalt",25,59
2013,41,"Werd",4,"Kreis 4",8,"Ehepaar mit Kinder",177,757
2013,41,"Werd",4,"Kreis 4",10,"Paar mit Kindern",32,104
2013,41,"Werd",4,"Kreis 4",11,"Patchwork-Haushalt",9,36
2013,41,"Werd",4,"Kreis 4",12,"Wohngemeinschaft ohne Kinder",177,596
2013,41,"Werd",4,"Kreis 4",13,"Wohngemeinschaft mit Kindern",36,217
2013,41,"Werd",4,"Kreis 4",14,"Generationenhaushalt",5,34
2013,41,"Werd",4,"Kreis 4",15,"Familien-Verbund",1,4
2013,42,"Langstrasse",4,"Kreis 4",1,"Einpersonenhaushalt",2822,2822
2013,42,"Langstrasse",4,"Kreis 4",4,"Zweipersonenhaushalt",1230,2460
2013,42,"Langstrasse",4,"Kreis 4",5,"Ehepaar ohne Kinder",365,730
2013,42,"Langstrasse",4,"Kreis 4",6,"Eingetragenes Paar ohne Kinder",34,68
2013,42,"Langstrasse",4,"Kreis 4",7,"Ein-Elternhaushalt",102,231
2013,42,"Langstrasse",4,"Kreis 4",8,"Ehepaar mit Kinder",291,1032
2013,42,"Langstrasse",4,"Kreis 4",10,"Paar mit Kindern",77,264
2013,42,"Langstrasse",4,"Kreis 4",11,"Patchwork-Haushalt",28,92
2013,42,"Langstrasse",4,"Kreis 4",12,"Wohngemeinschaft ohne Kinder",451,1557
2013,42,"Langstrasse",4,"Kreis 4",13,"Wohngemeinschaft mit Kindern",69,353
