"StichTagDatJahr","QuarSort","QuarLang","KreisSort","KreisLang","hh_groesseSort","hh_groesseLang","AnzHH","AnzBestWir"
2013,11,"Rathaus",1,"Kreis 1",1,"1 Person",1146,1146
2013,11,"Rathaus",1,"Kreis 1",2,"2 Personen",472,944
2013,11,"Rathaus",1,"Kreis 1",3,"3 Personen",138,414
2013,11,"Rathaus",1,"Kreis 1",4,"4 Personen",67,268
2013,11,"Rathaus",1,"Kreis 1",5,"5 Personen",27,135
2013,11,"Rathaus",1,"Kreis 1",6,"6 und mehr Personen",11,74
2013,12,"Hochschulen",1,"Kreis 1",1,"1 Person",129,129
2013,12,"Hochschulen",1,"Kreis 1",2,"2 Personen",65,130
2013,12,"Hochschulen",1,"Kreis 1",3,"3 Personen",26,78
2013,12,"Hochschulen",1,"Kreis 1",4,"4 Personen",16,64
2013,12,"Hochschulen",1,"Kreis 1",5,"5 Personen",2,10
2013,12,"Hochschulen",1,"Kreis 1",6,"6 und mehr Personen",2,15
2013,13,"Lindenhof",1,"Kreis 1",1,"1 Person",349,349
2013,13,"Lindenhof",1,"Kreis 1",2,"2 Personen",143,286
2013,13,"Lindenhof",1,"Kreis 1",3,"3 Personen",43,129
2013,13,"Lindenhof",1,"Kreis 1",4,"4 Personen",18,72
2013,13,"Lindenhof",1,"Kreis 1",5,"5 Personen",5,25
2013,13,"Lindenhof",1,"Kreis 1",6,"6 und mehr Personen",5,31
2013,14,"City",1,"Kreis 1",1,"1 Person",126,126
2013,14,"City",1,"Kreis 1",2,"2 Personen",104,208
2013,14,"City",1,"Kreis 1",3,"3 Personen",40,120
2013,14,"City",1,"Kreis 1",4,"4 Personen",23,92
2013,14,"City",1,"Kreis 1",5,"5 Personen",6,30
2013,14,"City",1,"Kreis 1",6,"6 und mehr Personen",8,89
2013,21,"Wollishofen",2,"Kreis 2",1,"1 Person",3828,3828
2013,21,"Wollishofen",2,"Kreis 2",2,"2 Personen",2356,4712
2013,21,"Wollishofen",2,"Kreis 2",3,"3 Personen",810,2430
2013,21,"Wollishofen",2,"Kreis 2",4,"4 Personen",639,2556
2013,21,"Wollishofen",2,"Kreis 2",5,"5 Personen",190,950
2013,21,"Wollishofen",2,"Kreis 2",6,"6 und mehr Personen",83,542
2013,23,"Leimbach",2,"Kreis 2",1,"1 Person",843,843
2013,23,"Leimbach",2,"Kreis 2",2,"2 Personen",699,1398
2013,23,"Leimbach",2,"Kreis 2",3,"3 Personen",317,951
2013,23,"Leimbach",2,"Kreis 2",4,"4 Personen",312,1248
2013,23,"Leimbach",2,"Kreis 2",5,"5 Personen",127,635
2013,23,"Leimbach",2,"Kreis 2",6,"6 und mehr Personen",66,450
2013,24,"Enge",2,"Kreis 2",1,"1 Person",1925,1925
2013,24,"Enge",2,"Kreis 2",2,"2 Personen",1286,2572
2013,24,"Enge",2,"Kreis 2",3,"3 Personen",480,1440
2013,24,"Enge",2,"Kreis 2",4,"4 Personen",324,1296
2013,24,"Enge",2,"Kreis 2",5,"5 Personen",105,525
2013,24,"Enge",2,"Kreis 2",6,"6 und mehr Personen",77,548
2013,31,"Alt-Wiedikon",3,"Kreis 3",1,"1 Person",4314,4314
2013,31,"Alt-Wiedikon",3,"Kreis 3",2,"2 Personen",2523,5046
2013,31,"Alt-Wiedikon",3,"Kreis 3",3,"3 Personen",874,2622
2013,31,"Alt-Wiedikon",3,"Kreis 3",4,"4 Personen",553,2212
2013,31,"Alt-Wiedikon",3,"Kreis 3",5,"5 Personen",175,875
2013,31,"Alt-Wiedikon",3,"Kreis 3",6,"6 und mehr Personen",158,1139
2013,33,"Friesenberg",3,"Kreis 3",1,"1 Person",1227,1227
2013,33,"Friesenberg",3,"Kreis 3",2,"2 Personen",1116,2232
2013,33,"Friesenberg",3,"Kreis 3",3,"3 Personen",576,1728
2013,33,"Friesenberg",3,"Kreis 3",4,"4 Personen",697,2788
2013,33,"Friesenberg",3,"Kreis 3",5,"5 Personen",276,1380
2013,33,"Friesenberg",3,"Kreis 3",6,"6 und mehr Personen",111,761
2013,34,"Sihlfeld",3,"Kreis 3",1,"1 Person",5326,5326
2013,34,"Sihlfeld",3,"Kreis 3",2,"2 Personen",3236,6472
2013,34,"Sihlfeld",3,"Kreis 3",3,"3 Personen",1191,3573
2013,34,"Sihlfeld",3,"Kreis 3",4,"4 Personen",689,2756
2013,34,"Sihlfeld",3,"Kreis 3",5,"5 Personen",194,970
2013,34,"Sihlfeld",3,"Kreis 3",6,"6 und mehr Personen",151,1126
2013,41,"Werd",4,"Kreis 4",1,"1 Person",996,996
2013,41,"Werd",4,"Kreis 4",2,"2 Personen",584,1168
2013,41,"Werd",4,"Kreis 4",3,"3 Personen",240,720
2013,41,"Werd",4,"Kreis 4",4,"4 Personen",114,456
2013,41,"Werd",4,"Kreis 4",5,"5 Personen",40,200
2013,41,"Werd",4,"Kreis 4",6,"6 und mehr Personen",50,395
2013,42,"Langstrasse",4,"Kreis 4",1,"1 Person",2822,2822
2013,42,"Langstrasse",4,"Kreis 4",2,"2 Personen",1707,3414
2013,42,"Langstrasse",4,"Kreis 4",3,"3 Personen",583,1749
2013,42,"Langstrasse",4,"Kreis 4",4,"4 Personen",250,1000
2013,42,"Langstrasse",4,"Kreis 4",5,"5 Personen",74,370
2013,42,"Langstrasse",4,"Kreis 4",6,"6 und mehr Personen",51,351
2013,44,"Hard",4,"Kreis 4",1,"1 Person",2922,2922
2013,44,"Hard",4,"Kreis 4",2,"2 Personen",1924,3848
2013,44,"Hard",4,"Kreis 4",3,"3 Personen",871,2613
