"Sprache","QuarSort","QuarLang","AnzBev","untAnzBevKI","obAnzBevKI"
"Deutsch",11,"Rathaus",2260,2150,2370
"Deutsch",12,"Hochschulen",240,200,270
"Deutsch",13,"Lindenhof",680,630,740
"Deutsch",14,"City",510,460,560
"Deutsch",21,"Wollishofen",14110,13870,14360
"Deutsch",23,"Leimbach",4770,4630,4920
"Deutsch",24,"Enge",7100,6900,7290
"Deutsch",31,"Alt-Wiedikon",12810,12540,13070
"Deutsch",33,"Friesenberg",9220,9050,9390
"Deutsch",34,"Sihlfeld",14580,14300,14870
"Deutsch",41,"Werd",2800,2690,2920
"Deutsch",42,"Langstrasse",6250,6060,6440
"Deutsch",44,"Hard",7620,7400,7850
"Deutsch",51,"Gewerbeschule",6300,6120,6490
"Deutsch",52,"Escher Wyss",4540,4410,4670
"Deutsch",61,"Unterstrass",17670,17400,17930
"Deutsch",63,"Oberstrass",8350,8180,8520
"Deutsch",71,"Fluntern",5620,5460,5780
"Deutsch",72,"Hottingen",8600,8420,8780
"Deutsch",73,"Hirslanden",5370,5220,5510
"Deutsch",74,"Witikon",9010,8850,9170
"Deutsch",81,"Seefeld",3520,3380,3670
"Deutsch",82,"Mühlebach",4280,4130,4420
"Deutsch",83,"Weinegg",3400,3270,3530
"Deutsch",91,"Albisrieden",15860,15610,16110
"Deutsch",92,"Altstetten",22030,21670,22390
"Deutsch",101,"Höngg",19260,19020,19500
"Deutsch",102,"Wipkingen",12030,11800,12260
"Deutsch",111,"Affoltern",19100,18790,19420
"Deutsch",115,"Oerlikon",14680,14380,14990
"Deutsch",119,"Seebach",16320,16000,16640
"Deutsch",121,"Saatlen",6300,6120,6480
"Deutsch",122,"Schwamendingen-Mitte",6850,6630,7070
"Deutsch",123,"Hirzenbach",7750,7530,7970
"Englisch",11,"Rathaus",460,360,560
"Englisch",12,"Hochschulen",80,40,110
"Englisch",13,"Lindenhof",140,90,200
"Englisch",14,"City",130,80,180
"Englisch",21,"Wollishofen",1940,1730,2150
"Englisch",23,"Leimbach",550,450,640
"Englisch",24,"Enge",1570,1390,1740
"Englisch",31,"Alt-Wiedikon",2050,1840,2270
"Englisch",33,"Friesenberg",710,570,850
"Englisch",34,"Sihlfeld",2160,1930,2380
"Englisch",41,"Werd",470,370,570
"Englisch",42,"Langstrasse",890,750,1040
"Englisch",44,"Hard",970,820,1120
"Englisch",51,"Gewerbeschule",700,570,820
"Englisch",52,"Escher Wyss",710,600,830
"Englisch",61,"Unterstrass",2110,1890,2320
"Englisch",63,"Oberstrass",1350,1180,1510
"Englisch",71,"Fluntern",1130,980,1280
"Englisch",72,"Hottingen",1430,1260,1600
"Englisch",73,"Hirslanden",780,650,900
"Englisch",74,"Witikon",1160,1010,1310
"Englisch",81,"Seefeld",970,820,1110
"Englisch",82,"Mühlebach",790,660,910
"Englisch",83,"Weinegg",600,490,720
"Englisch",91,"Albisrieden",1200,1040,1360
"Englisch",92,"Altstetten",2160,1950,2380
"Englisch",101,"Höngg",1650,1470,1830
"Englisch",102,"Wipkingen",1230,1060,1390
"Englisch",111,"Affoltern",2040,1840,2250
"Englisch",115,"Oerlikon",2110,1880,2330
"Englisch",119,"Seebach",2540,2320,2760
"Englisch",121,"Saatlen",400,320,480
"Englisch",122,"Schwamendingen-Mitte",870,730,1000
"Englisch",123,"Hirzenbach",820,680,950
"Französisch",11,"Rathaus",160,100,230
"Französisch",12,"Hochschulen",20,0,30
"Französisch",13,"Lindenhof",60,20,110
"Französisch",14,"City",80,40,120
"Französisch",21,"Wollishofen",720,600,850
"Französisch",23,"Leimbach",270,200,340
"Französisch",24,"Enge",550,440,650
"Französisch",31,"Alt-Wiedikon",790,660,920
"Französisch",33,"Friesenberg",330,260,410
"Französisch",34,"Sihlfeld",900,750,1050
"Französisch",41,"Werd",190,120,250
"Französisch",42,"Langstrasse",370,270,470
"Französisch",44,"Hard",330,240,410
"Französisch",51,"Gewerbeschule",340,250,440
"Französisch",52,"Escher Wyss",280,210,350
"Französisch",61,"Unterstrass",1040,890,1180
"Französisch",63,"Oberstrass",470,380,560
"Französisch",71,"Fluntern",670,560,790
"Französisch",72,"Hottingen",740,620,860
"Französisch",73,"Hirslanden",410,320,500
"Französisch",74,"Witikon",750,630,870
"Französisch",81,"Seefeld",340,250,430
"Französisch",82,"Mühlebach",350,260,430
"Französisch",83,"Weinegg",260,190,340
"Französisch",91,"Albisrieden",580,470,690
"Französisch",92,"Altstetten",1160,1000,1320
"Französisch",101,"Höngg",960,830,1100
"Französisch",102,"Wipkingen",540,430,640
"Französisch",111,"Affoltern",620,510,740
"Französisch",115,"Oerlikon",980,840,1130
"Französisch",119,"Seebach",770,640,900
"Französisch",121,"Saatlen",200,140,250
"Französisch",122,"Schwamendingen-Mitte",290,210,370
"Französisch",123,"Hirzenbach",350,270,430
"Italienisch",11,"Rathaus",180,110,240
"Italienisch",12,"Hochschulen",10,0,30
"Italienisch",13,"Lindenhof",50,20,70
"Italienisch",14,"City",20,0,40
"Italienisch",21,"Wollishofen",940,810,1070
"Italienisch",23,"Leimbach",230,170,300
"Italienisch",24,"Enge",540,430,640
"Italienisch",31,"Alt-Wiedikon",800,670,940
"Italienisch",33,"Friesenberg",500,410,590
"Italienisch",34,"Sihlfeld",990,840,1140
"Italienisch",41,"Werd",240,170,310
"Italienisch",42,"Langstrasse",560,450,670
"Italienisch",44,"Hard",700,580,820
"Italienisch",51,"Gewerbeschule",630,520,740
"Italienisch",52,"Escher Wyss",240,170,320
"Italienisch",61,"Unterstrass",960,820,1100
"Italienisch",63,"Oberstrass",370,290,460
"Italienisch",71,"Fluntern",300,210,390
"Italienisch",72,"Hottingen",510,410,610
"Italienisch",73,"Hirslanden",260,180,340
"Italienisch",74,"Witikon",420,330,500
"Italienisch",81,"Seefeld",260,170,340
"Italienisch",82,"Mühlebach",260,190,340
"Italienisch",83,"Weinegg",250,180,330
"Italienisch",91,"Albisrieden",1530,1370,1700
"Italienisch",92,"Altstetten",2650,2420,2870
"Italienisch",101,"Höngg",1060,920,1200
"Italienisch",102,"Wipkingen",780,650,910
"Italienisch",111,"Affoltern",1780,1590,1960
"Italienisch",115,"Oerlikon",1470,1310,1640
"Italienisch",119,"Seebach",1510,1340,1690
"Italienisch",121,"Saatlen",620,520,730
"Italienisch",122,"Schwamendingen-Mitte",660,550,780
"Italienisch",123,"Hirzenbach",780,660,890
