"Jahr","Sprache","AnzBev","AntBev","untAnzBevKI","obAnzBevKI","untAntBevKI","obAntBevKI"
2017,"Deutsch",305530,78.4,303080,307990,77.8,79
2017,"Englisch",41180,10.6,39290,43060,10.1,11.1
2017,"Italienisch",22620,5.8,21240,24000,5.5,6.2
2017,"Französisch",16680,4.3,15460,17890,4,4.6
2017,"Serbisch_Kroatisch",14390,3.7,13330,15450,3.4,4
2017,"Spanisch",16020,4.1,14860,17180,3.8,4.4
2017,"Portugiesisch",12090,3.1,11070,13110,2.8,3.4
2017,"Albanisch",10570,2.7,9680,11470,2.5,2.9
2017,"Rätoromanisch",1810,0.5,1400,2220,0.4,0.6
2017,"andSprachen",50430,12.9,48460,52410,12.4,13.5
2016,"Deutsch",297430,77.7,295710,299140,77.2,78.1
2016,"Englisch",38040,9.9,36750,39330,9.6,10.3
2016,"Italienisch",23020,6,22060,23980,5.8,6.3
2016,"Französisch",18170,4.7,17280,19060,4.5,5
2016,"Serbisch_Kroatisch",14520,3.8,13770,15260,3.6,4
2016,"Spanisch",15710,4.1,14910,16510,3.9,4.3
2016,"Portugiesisch",11570,3,10890,12250,2.8,3.2
2016,"Albanisch",10770,2.8,10170,11360,2.7,3
2016,"Rätoromanisch",1080,0.3,850,1310,0.2,0.3
2016,"andSprachen",51470,13.4,50060,52880,13.1,13.8
2015,"Deutsch",296420,78.5,294020,298810,77.8,79.1
2015,"Englisch",37300,9.9,35460,39130,9.4,10.4
2015,"Italienisch",23580,6.2,22200,24960,5.9,6.6
2015,"Französisch",15820,4.2,14650,16990,3.9,4.5
2015,"Serbisch_Kroatisch",14250,3.8,13220,15280,3.5,4
2015,"Spanisch",14770,3.9,13620,15910,3.6,4.2
2015,"Portugiesisch",12230,3.2,11210,13260,3,3.5
2015,"Albanisch",10860,2.9,9980,11740,2.6,3.1
2015,"Rätoromanisch",1270,0.3,940,1600,0.2,0.4
2015,"andSprachen",48120,12.7,46170,50070,12.2,13.3
