"Sprache","AntBev","AnzBev","untAntBevKI","obAntBevKI","untAnzBevKI","obAnzBevKI"
"Deutsch",77.2,257600,76.7,77.6,256160,259050
"Englisch",11.5,38240,11.1,11.8,37130,39340
"Italienisch",6.3,20980,6,6.5,20160,21790
"Französisch",4.5,14910,4.3,4.7,14220,15600
"Spanisch",4,13450,3.8,4.2,12780,14120
"Serbokroatisch",3.5,11710,3.3,3.7,11080,12350
"Portugiesisch",2.9,9800,2.8,3.1,9220,10390
"Albanisch",2.3,7630,2.1,2.4,7110,8160
"Türkisch",1.6,5200,1.4,1.7,4770,5630
"Griechisch",0.9,2900,0.8,1,2580,3210
"Arabisch",0.8,2760,0.7,0.9,2440,3080
"Russisch",0.8,2640,0.7,0.9,2320,2960
"Tamil",0.8,2630,0.7,0.9,2330,2930
"Polnisch",0.7,2280,0.6,0.8,2000,2570
"Ungarisch",0.5,1800,0.5,0.6,1550,2050
"Niederländisch",0.5,1630,0.4,0.6,1390,1860
"Chinesisch",0.4,1380,0.3,0.5,1150,1610
"Rätoromanisch",0.4,1330,0.3,0.5,1120,1540
"Thai",0.4,1270,0.3,0.4,1070,1480
"Farsi",0.4,1210,0.3,0.4,990,1430
"Kurdisch",0.4,1220,0.3,0.4,1000,1440
"Slowakisch",0.3,1130,0.3,0.4,930,1330
"Schwedisch",0.3,1110,0.3,0.4,910,1310
"Tschechisch",0.3,1100,0.3,0.4,900,1290
"Rumänisch",0.3,1070,0.3,0.4,880,1270
"Tigrinya",0.3,890,0.2,0.3,690,1090
"Japanisch",0.2,700,0.2,0.3,540,850
"Somali",0.2,640,0.1,0.2,470,800
"Bosnisch",0.2,630,0.1,0.2,490,780
"Bulgarisch",0.2,630,0.1,0.2,480,780
"Bengalisch",0.2,620,0.1,0.2,470,770
"Hindi",0.2,580,0.1,0.2,430,740
"Tagalog",0.2,530,0.1,0.2,390,670
"Hebräisch",0.2,520,0.1,0.2,380,660
"Tibetisch",0.1,420,0.1,0.2,290,550
"Finnisch",0.1,420,0.1,0.2,300,530
"Urdu",0.1,370,0.1,0.1,260,480
"Slowenisch",0.1,360,0.1,0.1,250,470
"Mazedonisch",0.1,320,0.1,0.1,210,430
"Katalanisch",0.1,300,0.1,0.1,190,400
"Dänisch",0.1,290,0.1,0.1,190,390
"Vietnamesisch",0.1,270,0.1,0.1,170,360
"Luxemburgisch",0.1,260,0,0.1,160,360
"Koreanisch",0.1,240,0,0.1,140,340
"Ukrainisch",0.1,230,0,0.1,140,330
"Litauisch",0.1,220,0,0.1,130,310
"Mandarin",0.1,200,0,0.1,110,300
"Indonesisch",0.1,190,0,0.1,110,270
"Bangala",0.1,180,0,0.1,100,270
"Amharisch",0,160,0,0.1,90,240
