id;consumption_2016
1101;7.61
1102;12.86
1103;13.45
1104;9.99
1201;18.9
1202;11.97
1203;34.01
1301;25.42
1302;26.6
1303;10.48
1401;68.01
1402;63.22
1403;9.84
1404;39.46
2101;5.26
2102;10.62
2103;5.36
2104;2.88
2105;5.27
2106;6.58
2107;3.12
2108;15.19
2109;7.47
2110;3.31
2111;1.91
2112;0.36
2301;6.56
2302;3.39
2303;5.69
2401;26.17
2402;43.08
2403;14.85
2404;18.33
2405;8.3
2406;13.29
2407;0.71
3101;12.1
3102;5.78
3103;3.68
3104;11.53
3105;37.7
3106;117.87
3301;3.29
3302;5.33
3303;6.87
3304;4.91
3305;4.4
3306;22.45
3401;10.17
3402;3.75
3403;11.15
3404;7.41
3405;9.51
3406;7.76
3407;9.83
3408;13.07
4101;14.14
4102;17.62
4103;4.48
4201;7.35
4202;4.35
4203;14.26
4204;7.07
4205;19.66
4206;75.01
4401;52.35
4402;16.18
4403;6.45
4404;4.61
4405;6.95
5101;6.49
5102;10.21
5103;12.4
5104;7.73
5105;8.24
5106;6.36
5201;82.29
5202;73.15
5203;54.03
5204;20.32
6101;3.07
6102;2.78
6103;2.4
6104;5.5
6105;3.16
6106;7.46
6107;5.91
6108;7.52
6109;12.58
6110;5.36
6111;5.28
6112;10.94
6113;19.54
6301;41.59
6302;4.76
6303;3.54
6304;52.35
6305;3.85
6306;5.78
6307;2.54
7101;7.23
7102;5.76
7103;8.15
7104;50.4
7105;10.87
7106;8
7201;14.58
7202;9.4
7203;5.2
7204;18.92
7205;14.05
7206;4.05
7207;5.74
7301;5.46
7302;7.17
7303;11.61
7401;8.24
7402;6.81
7403;5.31
7404;2.47
7405;1.92
7406;3.97
7407;2.39
8101;18.1
8102;12.17
8103;8.76
8104;0.11
8201;16.26
8202;8.93
8203;6.25
8204;5.69
8301;5.36
8302;6.62
8303;21.63
8304;29.22
9101;2.58
9102;4.26
9103;2.97
9104;12.89
9105;8.32
9106;13.67
9107;13.9
9108;2.71
9109;8.69
9201;5.95
9202;5.38
9203;5.06
9204;6.22
9205;8.91
9206;19.58
9207;24.74
9208;57.13
9209;22.9
9210;10.99
9211;4.05
9212;29.43
9213;47.64
9214;21.24
9215;43.22
9216;29.22
10101;9.53
10102;8.22
10103;8.42
10104;5.31
10105;58.43
10106;4.03
10107;5.85
10108;4.8
10109;8.74
10110;5.59
10201;7.66
10202;7.74
10203;4.33
10204;4.7
10205;7.25
10206;5.2
10207;10.08
11101;9.45
11102;5.23
11103;15.64
11104;12.5
11105;3.83
11106;7.63
11107;10.99
11501;50.1
11502;5.85
11503;10.24
11504;26.03
11505;18.91
11506;14.83
11507;4.54
11508;5.25
11509;4.35
11510;1.01
11901;7.01
11902;6.61
11903;9.44
11904;9.91
11905;2.35
11906;9.97
11907;6.98
11908;7.47
11909;70.2
12101;10.7
12102;6.57
12103;4.09
12201;5.73
12202;6.93
12203;9.48
12204;4.54
12205;5.45
12301;2.6
12302;9.63
12303;9.3
12304;5.17

