"RaumNr","Raum","Oberthema","Zahl","Thema","Vergleichszahl","Vergleichstext","Bemerkungen"
0,"Ganze Stadt","Stadtgebiet",91.9,"Fläche in Quadratkilometer",12869,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1,"Kreis 1","Stadtgebiet",1.8,"Fläche in Quadratkilometer",252,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
2,"Kreis 2","Stadtgebiet",11.1,"Fläche in Quadratkilometer",1550,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
3,"Kreis 3","Stadtgebiet",8.7,"Fläche in Quadratkilometer",1212,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
4,"Kreis 4","Stadtgebiet",2.9,"Fläche in Quadratkilometer",407,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
5,"Kreis 5","Stadtgebiet",2,"Fläche in Quadratkilometer",280,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
6,"Kreis 6","Stadtgebiet",5.1,"Fläche in Quadratkilometer",714,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
7,"Kreis 7","Stadtgebiet",15,"Fläche in Quadratkilometer",2103,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
8,"Kreis 8","Stadtgebiet",4.8,"Fläche in Quadratkilometer",673,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
9,"Kreis 9","Stadtgebiet",12.1,"Fläche in Quadratkilometer",1689,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
10,"Kreis 10","Stadtgebiet",9.1,"Fläche in Quadratkilometer",1272,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
11,"Kreis 11","Stadtgebiet",13.4,"Fläche in Quadratkilometer",1881,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
12,"Kreis 12","Stadtgebiet",6,"Fläche in Quadratkilometer",836,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
110,"Rathaus","Stadtgebiet",0.4,"Fläche in Quadratkilometer",50,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
120,"Hochschulen","Stadtgebiet",0.6,"Fläche in Quadratkilometer",81,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
130,"Lindenhof","Stadtgebiet",0.3,"Fläche in Quadratkilometer",37,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
140,"City","Stadtgebiet",0.6,"Fläche in Quadratkilometer",83,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
210,"Wollishofen","Stadtgebiet",5.8,"Fläche in Quadratkilometer",810,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
230,"Leimbach","Stadtgebiet",2.9,"Fläche in Quadratkilometer",409,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
240,"Enge","Stadtgebiet",2.4,"Fläche in Quadratkilometer",331,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
310,"Alt-Wiedikon","Stadtgebiet",1.7,"Fläche in Quadratkilometer",237,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
330,"Friesenberg","Stadtgebiet",5.3,"Fläche in Quadratkilometer",742,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
340,"Sihlfeld","Stadtgebiet",1.7,"Fläche in Quadratkilometer",233,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
410,"Werd","Stadtgebiet",0.3,"Fläche in Quadratkilometer",42,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
420,"Langstrasse","Stadtgebiet",1.2,"Fläche in Quadratkilometer",170,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
440,"Hard","Stadtgebiet",1.4,"Fläche in Quadratkilometer",195,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
510,"Gewerbeschule","Stadtgebiet",0.7,"Fläche in Quadratkilometer",102,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
520,"Escher Wyss","Stadtgebiet",1.3,"Fläche in Quadratkilometer",177,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
610,"Unterstrass","Stadtgebiet",2.5,"Fläche in Quadratkilometer",345,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
630,"Oberstrass","Stadtgebiet",2.6,"Fläche in Quadratkilometer",369,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
710,"Fluntern","Stadtgebiet",2.8,"Fläche in Quadratkilometer",398,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
720,"Hottingen","Stadtgebiet",5.1,"Fläche in Quadratkilometer",708,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
730,"Hirslanden","Stadtgebiet",2.2,"Fläche in Quadratkilometer",306,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
740,"Witikon","Stadtgebiet",4.9,"Fläche in Quadratkilometer",691,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
810,"Seefeld","Stadtgebiet",2.4,"Fläche in Quadratkilometer",339,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
820,"Mühlebach","Stadtgebiet",0.6,"Fläche in Quadratkilometer",90,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
830,"Weinegg","Stadtgebiet",1.7,"Fläche in Quadratkilometer",244,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
910,"Albisrieden","Stadtgebiet",4.6,"Fläche in Quadratkilometer",644,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
920,"Altstetten","Stadtgebiet",7.5,"Fläche in Quadratkilometer",1044,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1010,"Höngg","Stadtgebiet",7,"Fläche in Quadratkilometer",978,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1020,"Wipkingen","Stadtgebiet",2.1,"Fläche in Quadratkilometer",294,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1110,"Affoltern","Stadtgebiet",6,"Fläche in Quadratkilometer",846,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1150,"Oerlikon","Stadtgebiet",2.7,"Fläche in Quadratkilometer",375,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1190,"Seebach","Stadtgebiet",4.7,"Fläche in Quadratkilometer",660,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1210,"Saatlen","Stadtgebiet",1.1,"Fläche in Quadratkilometer",158,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1220,"Schwamendingen-Mitte","Stadtgebiet",2.8,"Fläche in Quadratkilometer",391,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1230,"Hirzenbach","Stadtgebiet",2,"Fläche in Quadratkilometer",287,"Anzahl Fussballfelder","Datenquelle: Gebäude- und Wohnungsregister (2018)"
0,"Ganze Stadt","Stadtgebiet",23.8,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1,"Kreis 1","Stadtgebiet",0.3,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
2,"Kreis 2","Stadtgebiet",18.7,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
3,"Kreis 3","Stadtgebiet",31.7,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
4,"Kreis 4","Stadtgebiet",0.1,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
5,"Kreis 5","Stadtgebiet",0.4,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
6,"Kreis 6","Stadtgebiet",20.2,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
7,"Kreis 7","Stadtgebiet",42.7,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
8,"Kreis 8","Stadtgebiet",3.4,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
9,"Kreis 9","Stadtgebiet",29.6,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
10,"Kreis 10","Stadtgebiet",30.2,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
11,"Kreis 11","Stadtgebiet",10.4,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
12,"Kreis 12","Stadtgebiet",28.8,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
110,"Rathaus","Stadtgebiet",0.1,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
120,"Hochschulen","Stadtgebiet",0,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
130,"Lindenhof","Stadtgebiet",0,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
140,"City","Stadtgebiet",0.7,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
210,"Wollishofen","Stadtgebiet",12,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
230,"Leimbach","Stadtgebiet",46.2,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
240,"Enge","Stadtgebiet",1.2,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
310,"Alt-Wiedikon","Stadtgebiet",2.4,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
330,"Friesenberg","Stadtgebiet",51.1,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
340,"Sihlfeld","Stadtgebiet",0,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
410,"Werd","Stadtgebiet",0.7,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
420,"Langstrasse","Stadtgebiet",0,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
440,"Hard","Stadtgebiet",0,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
510,"Gewerbeschule","Stadtgebiet",0.4,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
