OGD_ID,LOK_NR,LOK_TEXT,LOK_STATUS,LOK_ART,LOK_GEOMETRIE
LOKALISATION_1,527,Fellenbergstrasse,1,1,POINT (8.49997581 47.37382057)
LOKALISATION_2,1197,Lamprechtweg,1,1,POINT (8.53710919 47.41372225)
LOKALISATION_3,1349,Max-Bill-Platz,1,2,POINT (8.53996413 47.41411187)
LOKALISATION_4,1660,Rossackerstrasse,1,1,POINT (8.48776817 47.37040783)
LOKALISATION_5,1513,Otto-Schütz-Weg,1,1,POINT (8.54056291 47.41497420)
LOKALISATION_6,2226,Wydäckerring,1,1,POINT (8.49559889 47.36938538)
LOKALISATION_7,670,Ginsterstrasse,1,1,POINT (8.49457726 47.37600448)
LOKALISATION_8,1410,Mühlezelgstrasse,1,1,POINT (8.49304156 47.37709646)
LOKALISATION_9,1746,Schiffbaustrasse,1,1,POINT (8.51678207 47.38927471)
LOKALISATION_10,2013,Thermengasse,1,1,POINT (8.54126108 47.37128754)
LOKALISATION_11,1938,Stegengasse,1,1,POINT (8.54163576 47.37082522)
LOKALISATION_12,1643,Rollengasse,1,1,POINT (8.54119802 47.37225155)
LOKALISATION_13,406,Dreikönigbrücke,1,1,POINT (8.53838488 47.36759553)
LOKALISATION_14,2111,Walchebrücke,1,1,POINT (8.54208676 47.37858725)
LOKALISATION_15,469,Emilie-Kempin-Spyri-Weg,1,1,POINT (8.48442112 47.38648915)
LOKALISATION_16,848,Herrligweg,1,1,POINT (8.48474940 47.38993883)
LOKALISATION_17,1359,Meierwiesenweg,1,1,POINT (8.49159459 47.39475280)
LOKALISATION_18,782,Hardeggsteg,1,1,POINT (8.50406065 47.39518641)
LOKALISATION_19,843,Hermetschloobrücke,1,1,POINT (8.47393546 47.39666044)
LOKALISATION_20,844,Hermetschloostrasse,1,1,POINT (8.47891209 47.39318912)
LOKALISATION_21,2350,Susanna-Gossweiler-Platz,1,2,POINT (8.54609991 47.37208039)
LOKALISATION_22,1423,Museumstrasse,1,1,POINT (8.54092001 47.37841416)
LOKALISATION_23,1208,Langhagweg,1,1,POINT (8.49724061 47.37521334)
LOKALISATION_24,1992,Süsslerenstrasse,1,1,POINT (8.49345258 47.37653003)
LOKALISATION_25,909,Holzwiesweg,1,1,POINT (8.49646238 47.37727281)
LOKALISATION_26,1701,Sackzelg,1,1,POINT (8.49902406 47.37601343)
LOKALISATION_27,1940,Steinackerweg,1,1,POINT (8.48688915 47.37197156)
LOKALISATION_28,1217,Läufebachweg,1,1,POINT (8.48913746 47.37034640)
LOKALISATION_29,1993,Süsslerenweg,1,1,POINT (8.49261096 47.37538087)
LOKALISATION_30,671,Ginsterweg,1,1,POINT (8.49088508 47.37679749)
LOKALISATION_31,24,Albert-Schneider-Weg,1,1,POINT (8.49511525 47.37522888)
LOKALISATION_32,746,Guldinerweg,1,1,POINT (8.49274658 47.37674483)
LOKALISATION_33,199,Bergliweg,1,1,POINT (8.46991652 47.38953813)
LOKALISATION_34,1512,Otto-Lang-Weg,1,1,POINT (8.55426616 47.38251783)
LOKALISATION_35,1909,Spyristeig,1,1,POINT (8.55495168 47.38456620)
LOKALISATION_36,558,Forstersteig,1,1,POINT (8.56387375 47.38074507)
LOKALISATION_37,854,Heubeeriweg,1,1,POINT (8.56326587 47.38092981)
LOKALISATION_38,1097,Kienastenwiesweg,1,1,POINT (8.60586935 47.35540845)
LOKALISATION_39,146,Bahnhofpassage,1,2,POINT (8.53921962 47.37738578)
LOKALISATION_40,1269,Lindenhofstrasse,1,1,POINT (8.54087770 47.37507649)
LOKALISATION_41,2081,Usteribrücke,1,1,POINT (8.53594746 47.37596563)
LOKALISATION_42,1948,Steinmühleplatz,1,2,POINT (8.53646795 47.37393767)
LOKALISATION_43,1941,Steinbockgasse,1,1,POINT (8.54464815 47.37282872)
LOKALISATION_44,1596,Rehgässchen,1,1,POINT (8.54584924 47.37242854)
